Date,Open,High,Low,Close,Adj Close,Volume
2017-07-31,10.820000,11.340000,10.120000,11.060000,11.060000,149334630
2017-08-07,11.180000,13.540000,11.040000,12.900000,12.900000,490220740
2017-08-14,13.060000,13.520000,12.800000,12.840000,12.840000,211913652
2017-08-21,12.860000,14.000000,12.500000,13.500000,13.500000,222490703
2017-08-28,13.120000,13.180000,11.720000,12.080000,12.080000,279269328
2017-09-04,11.880000,12.120000,11.440000,12.060000,12.060000,145853092
2017-09-11,12.080000,12.460000,11.780000,12.020000,12.020000,141784681
2017-09-18,11.980000,12.080000,10.900000,11.080000,11.080000,138859199
2017-09-25,11.060000,11.200000,10.760000,11.100000,11.100000,68323828
2017-10-02,11.100000,12.340000,10.720000,12.100000,12.100000,112894972
2017-10-09,12.160000,12.280000,11.660000,12.000000,12.000000,109753926
2017-10-16,12.000000,12.000000,11.120000,11.600000,11.600000,110725399
2017-10-23,11.600000,11.800000,11.180000,11.300000,11.300000,46998400
2017-10-30,11.400000,12.480000,11.280000,11.820000,11.820000,132891233
2017-11-06,11.800000,12.860000,11.340000,12.280000,12.280000,164782143
2017-11-13,12.280000,12.760000,10.800000,11.100000,11.100000,205663487
2017-11-20,11.120000,11.360000,10.920000,11.180000,11.180000,113326368
2017-11-27,11.240000,11.320000,10.480000,11.260000,11.260000,212818988
2017-12-04,11.260000,11.260000,10.180000,10.760000,10.760000,61780470
2017-12-11,10.760000,10.760000,10.260000,10.500000,10.500000,46342694
2017-12-18,10.420000,10.480000,9.820000,10.380000,10.380000,71521764
2017-12-25,10.380000,10.940000,10.360000,10.880000,10.880000,51047716
2018-01-01,10.880000,12.300000,10.800000,12.300000,12.300000,198767705
2018-01-08,12.500000,12.940000,11.820000,12.720000,12.720000,271370992
2018-01-15,12.660000,12.680000,11.140000,11.700000,11.700000,210257234
2018-01-22,11.660000,12.300000,11.300000,11.460000,11.460000,101713312
2018-01-29,11.500000,11.500000,10.700000,10.920000,10.920000,69457746
2018-02-05,10.500000,10.740000,8.710000,8.960000,8.960000,159557556
2018-02-12,9.040000,10.200000,9.040000,9.970000,9.970000,55120449
2018-02-19,9.970000,10.400000,9.970000,10.300000,10.300000,35080256
2018-02-26,10.500000,10.660000,9.900000,10.020000,10.020000,62209276
2018-03-05,10.060000,10.440000,9.840000,10.320000,10.320000,47634500
2018-03-12,10.400000,10.480000,9.990000,10.000000,10.000000,52776280
2018-03-19,10.000000,10.200000,9.090000,9.440000,9.440000,47891362
2018-03-26,9.370000,10.300000,8.780000,8.990000,8.990000,79365708
2018-04-02,8.990000,9.050000,8.600000,8.720000,8.720000,19629652
2018-04-09,8.700000,9.030000,8.520000,8.650000,8.650000,49371529
2018-04-16,8.730000,9.180000,8.600000,8.690000,8.690000,60968013
2018-04-23,8.690000,8.760000,8.000000,8.330000,8.330000,56062649
2018-04-30,8.330000,8.550000,8.200000,8.230000,8.230000,27362351
2018-05-07,8.200000,8.610000,8.000000,8.350000,8.350000,49550440
2018-05-14,8.390000,8.860000,8.260000,8.500000,8.500000,78694408
2018-05-21,8.520000,8.740000,7.530000,8.240000,8.240000,104621223
2018-05-28,8.360000,8.800000,8.250000,8.480000,8.480000,142223839
2018-06-04,8.360000,8.550000,8.000000,8.150000,8.150000,82526681
2018-06-11,8.160000,8.180000,6.970000,7.180000,7.180000,97717987
2018-06-18,7.180000,7.180000,6.680000,6.750000,6.750000,77947195
2018-06-25,6.760000,6.970000,6.170000,6.850000,6.850000,102752542
2018-07-02,6.850000,6.850000,6.190000,6.290000,6.290000,28218905
2018-07-09,6.310000,6.570000,6.000000,6.430000,6.430000,51878536
2018-07-16,6.480000,6.590000,6.160000,6.360000,6.360000,30348452
2018-07-23,6.350000,6.550000,6.170000,6.200000,6.200000,28506482
2018-07-30,6.200000,6.230000,5.740000,5.950000,5.950000,44781280
2018-08-06,5.980000,6.050000,5.760000,5.920000,5.920000,24696077
2018-08-13,5.830000,5.850000,4.500000,4.560000,4.560000,58377700
2018-08-20,4.570000,4.870000,3.910000,4.400000,4.400000,140670937
2018-08-27,4.400000,4.450000,3.980000,4.250000,4.250000,71131999
2018-09-03,4.200000,4.720000,4.190000,4.650000,4.650000,90490525
2018-09-10,4.700000,5.240000,4.540000,5.210000,5.210000,89033878
2018-09-17,5.180000,5.950000,5.070000,5.950000,5.950000,75453441
2018-09-24,5.900000,6.450000,5.250000,5.480000,5.480000,114418479
2018-10-01,5.480000,5.480000,5.050000,5.080000,5.080000,38647000
2018-10-08,5.120000,5.240000,4.480000,4.640000,4.640000,59587949
2018-10-15,4.640000,4.930000,4.500000,4.650000,4.650000,60911987
2018-10-22,4.610000,4.760000,3.880000,4.200000,4.200000,51894409
2018-10-29,4.180000,4.410000,4.020000,4.360000,4.360000,47816083
2018-11-05,4.280000,4.460000,4.130000,4.190000,4.190000,51334136
2018-11-12,4.160000,4.580000,4.020000,4.470000,4.470000,101947933
2018-11-19,4.430000,4.530000,4.000000,4.140000,4.140000,134806073
2018-11-26,4.120000,4.200000,2.960000,3.250000,3.250000,223742176
2018-12-03,3.310000,3.400000,2.980000,3.000000,3.000000,158117710
2018-12-10,2.990000,3.000000,2.370000,2.390000,2.390000,164371469
2018-12-17,2.400000,2.500000,2.070000,2.100000,2.100000,162319250
2018-12-24,2.110000,2.150000,1.940000,2.090000,2.090000,49859191
2018-12-31,2.090000,2.500000,2.030000,2.480000,2.480000,134540141
2019-01-07,2.530000,2.860000,2.420000,2.700000,2.700000,140825994
2019-01-14,2.720000,2.770000,2.560000,2.690000,2.690000,56462199
2019-01-21,2.710000,2.740000,2.220000,2.520000,2.520000,84128155
2019-01-28,2.560000,2.750000,2.420000,2.660000,2.660000,52237253
2019-02-04,2.700000,3.100000,2.570000,3.080000,3.080000,46614836
2019-02-11,3.080000,3.350000,2.960000,2.980000,2.980000,185425025
2019-02-18,3.010000,3.370000,3.010000,3.280000,3.280000,121050869
2019-02-25,3.350000,3.400000,3.040000,3.330000,3.330000,106684936
2019-03-04,3.390000,4.190000,3.340000,3.870000,3.870000,223225434
2019-03-11,3.940000,4.560000,3.700000,3.750000,3.750000,161933891
2019-03-18,3.750000,4.160000,3.390000,3.970000,3.970000,85247891
2019-03-25,3.800000,4.050000,3.630000,3.690000,3.690000,81904189
2019-04-01,3.710000,4.000000,3.710000,3.960000,3.960000,43495567
2019-04-08,4.010000,4.050000,3.350000,3.390000,3.390000,106410862
2019-04-15,3.450000,3.550000,3.260000,3.350000,3.350000,59788299
2019-04-22,3.350000,3.350000,2.890000,2.920000,2.920000,50945015
2019-04-29,2.940000,3.080000,2.710000,2.790000,2.790000,25514274
2019-05-06,2.630000,2.720000,2.310000,2.400000,2.400000,57816040
2019-05-13,2.400000,2.990000,2.300000,2.550000,2.550000,84296064
2019-05-20,2.580000,2.740000,2.450000,2.630000,2.630000,35647129
2019-05-27,2.550000,2.840000,2.550000,2.650000,2.650000,57263939
2019-06-03,2.600000,2.760000,2.460000,2.500000,2.500000,38556110
2019-06-10,2.490000,2.600000,2.490000,2.510000,2.510000,28525946
2019-06-17,2.550000,2.770000,2.490000,2.710000,2.710000,91780371
2019-06-24,2.710000,2.750000,2.490000,2.520000,2.520000,48276105
2019-07-01,2.520000,2.590000,2.250000,2.270000,2.270000,45240682
2019-07-08,2.260000,2.260000,2.000000,2.120000,2.120000,41015500
2019-07-15,2.140000,2.200000,2.090000,2.110000,2.110000,28996769
2019-07-22,2.090000,2.770000,1.990000,2.460000,2.460000,230980436
2019-07-29,2.450000,2.490000,2.120000,2.170000,2.170000,50822389
2019-08-05,2.150000,2.240000,1.930000,2.010000,2.010000,55891708
2019-08-12,2.030000,2.090000,1.910000,1.980000,1.980000,37879769
2019-08-19,2.010000,2.150000,1.980000,2.050000,2.050000,51498318
2019-08-26,1.980000,2.110000,1.960000,1.980000,1.980000,56750918
2019-09-02,1.980000,1.980000,1.750000,1.860000,1.860000,63203957
2019-09-09,1.880000,2.030000,1.810000,1.950000,1.950000,42509500
2019-09-16,1.950000,1.970000,1.820000,1.920000,1.920000,48485474
2019-09-23,1.930000,1.930000,1.800000,1.810000,1.810000,39600983
2019-09-30,1.820000,1.820000,1.710000,1.750000,1.750000,16008762
2019-10-07,1.750000,1.780000,1.590000,1.760000,1.760000,57057560
2019-10-14,1.760000,1.800000,1.700000,1.720000,1.720000,47168523
2019-10-21,1.720000,1.840000,1.650000,1.750000,1.750000,62322810
2019-10-28,2.170000,2.270000,1.730000,1.770000,1.770000,153944270
2019-11-04,1.770000,1.860000,1.680000,1.680000,1.680000,89192890
2019-11-11,1.690000,1.700000,1.610000,1.630000,1.630000,42795698
2019-11-18,1.630000,1.660000,1.520000,1.540000,1.540000,56271530
2019-11-25,1.560000,1.680000,1.430000,1.440000,1.440000,253988610
2019-12-02,1.430000,1.450000,1.320000,1.390000,1.390000,69862050
2019-12-09,1.390000,1.460000,1.370000,1.440000,1.440000,61053440
2019-12-16,1.440000,1.600000,1.420000,1.470000,1.470000,87906118
2019-12-23,1.470000,1.560000,1.450000,1.490000,1.490000,25396360
2019-12-30,1.490000,1.790000,1.470000,1.570000,1.570000,101100976
2020-01-06,1.580000,1.590000,1.490000,1.570000,1.570000,55053442
2020-01-13,1.560000,2.070000,1.560000,2.030000,2.030000,282434450
2020-01-20,2.070000,2.080000,1.700000,1.710000,1.710000,112812900
2020-01-27,1.710000,1.710000,1.450000,1.510000,1.510000,41788500
2020-02-03,1.490000,1.880000,1.460000,1.850000,1.850000,147652680
2020-02-10,1.800000,1.980000,1.750000,1.890000,1.890000,122164140
2020-02-17,1.880000,2.270000,1.820000,2.120000,2.120000,233070600
2020-02-24,2.120000,2.250000,1.800000,1.840000,1.840000,164538500
2020-03-02,1.820000,1.910000,1.750000,1.800000,1.800000,105741890
2020-03-09,1.750000,1.840000,1.570000,1.770000,1.770000,112290000
2020-03-16,1.760000,1.770000,1.370000,1.450000,1.450000,102866420
